id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
31054;Ator;Venom;Male;Anglo-Saxon;5000;04.07.2016 19:51:45;myData.biz
31055;Atrayu;Friend.;Male;Movie: Neverending Stor;31;04.07.2016 19:51:55;myData.biz
31056;Atreides;descended from Atreus;Male;Greek;816;04.07.2016 19:52:00;myData.biz
31057;Atreus;myth name (father of Agamemnon);Male;Greek;453;04.07.2016 19:52:12;myData.biz
31058;Atropes;myth name (a Fate);Female;Greek;6;04.07.2016 19:52:26;myData.biz
31059;Atsu;twin;Male;Egyptian;6000;04.07.2016 19:52:32;myData.biz
31060;Atsukpi;Ewe of Ghana name for a female twin.;Female;African;0;04.07.2016 19:52:39;myData.biz
31061;Attewater;From the waterside;Male;English;2;04.07.2016 19:52:47;myData.biz
31062;Attewell;Lives by the spring;Male;English;451;04.07.2016 19:52:58;myData.biz
31063;Attewode;Lives in the forest;Male;English;2;04.07.2016 19:53:03;myData.biz
31064;Atteworthe;Lives at the farmstead;Male;English;0;04.07.2016 19:53:11;myData.biz
31065;Attheaeldre;At the elder tree;Female;English;0;04.07.2016 19:53:19;myData.biz
31066;Attie;Strong as a bear;Male;Celtic;2000;04.07.2016 19:53:29;myData.biz
31067;Attila;myth name;Male;Hungarian;42000;04.07.2016 19:53:36;myData.biz
31068;Attis;myth name (son of Manes);Male;Greek;624;04.07.2016 19:53:45;myData.biz
31069;Attkins;Son of Aiken;Male;English;63;04.07.2016 19:53:54;myData.biz
31070;Attmore;From the moor;Male;English;110;04.07.2016 19:54:03;myData.biz
31071;Attor;venom;Male;Anglo;156;04.07.2016 19:54:09;myData.biz
31072;Attor;Venom;Male;Anglo-Saxon;156;04.07.2016 19:54:15;myData.biz
31073;Attracta;Name of a saint;Female;Irish;269;04.07.2016 19:54:27;myData.biz
31074;Attwell;Lives by the spring;Male;English;1000;04.07.2016 19:54:33;myData.biz
31075;Atty;Strong as a bear;Male;Celtic;6000;04.07.2016 19:54:41;myData.biz
31076;Atu;"Fante of Ghana name meaning &quot;born on Saturday.&quot;";Male;African;16000;04.07.2016 19:54:49;myData.biz
31077;Atum;whole;Male;Egyptian;1000;04.07.2016 19:54:57;myData.biz
31078;Atwater;From the waterside;Male;English;6000;04.07.2016 19:55:05;myData.biz
